label,confidence,reasoning,explanation,idx,sentence,matched_markers,paper_title,reviewer,ground_truth,model,correct
objective,0.95,"The sentence describes a factual observation about the experimental figures (lack of variance visualization) without expressing personal judgment, evaluation, or hedging. It states a verifiable claim about what is absent in the presented data, which aligns with objective reporting of methodological limitations.",The statement is an objective observation about the completeness of the experimental visualization rather than an evaluative opinion or subjective assessment.,50,The figures in the experimental results do not show the variance of reported metrics across independent runs.,,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_LPVL,objective,qwen3:8b,True
subjective,0.95,"The sentence contains first-person perspective ('My main concern is'), evaluative language ('promising'), and explicit expression of the reviewer's judgment ('I don't see that the experiments support...'). These elements indicate the author's subjective assessment rather than objective facts. The statement represents the reviewer's interpretation and evaluation of the work's validity, not verifiable claims about the research itself.","The sentence expresses the reviewer's personal opinion about the relationship between experiments and conclusions, making it subjective.",51,"My main concern is, while the work is promising, I don't see that the experiments support the main conclusions that authors draw.",promising,Scaling Laws for Generative Reward Models,ICLR.cc/2026/Conference/Submission25601/Reviewer_UekM,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('interesting', 'weak issues') and expresses the author's opinion about the manuscript's quality. The phrase 'there are several weak issues' represents a subjective assessment of the work's strengths/weaknesses, which is characteristic of peer review criticism. The numerical marker '1/ Clarity' indicates a specific weakness being discussed, but the classification remains subjective as it reflects the reviewer's judgment rather than an objective fact.",The sentence expresses the reviewer's subjective evaluation of the manuscript's clarity and overall quality.,52,"Although the intuition behind character-ID information is interesting, there are several weak issues in this manuscript.  1/ Clarity.",interesting,All-in-One: Boosting Basic Capabilities in one Omni-MLLM to Enhance Movie Understanding,ICLR.cc/2026/Conference/Submission25627/Reviewer_pdST,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('overly simplistic', 'lacks rigor') which expresses the reviewer's judgment about the quality of the definition. These phrases represent subjective assessments rather than verifiable facts. The statement reflects the author's opinion about the paper's work, not an objective observation.",The sentence expresses a subjective evaluation of the paper's definition rather than stating an objective fact.,53,1 The definition of hallucinations in this paper is overly simplistic and lacks rigor.,simplistic | lacks,Efficient High-Resolution Image Editing with Hallucination-Aware Loss and Adaptive Tiling,ICLR.cc/2026/Conference/Submission25554/Reviewer_GPpq,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('insufficient') and prescriptive recommendations ('should discuss'), which reflect the reviewer's opinion about the paper's shortcomings. The phrase 'why a bespoke system was necessary' implies a value judgment about the authors' methodology. These elements clearly express the author's stance rather than stating verifiable facts.","The sentence expresses the reviewer's evaluation and recommendations about the paper's comparative analysis, making it subjective.",54,"The authors should, for instance, discuss how their framework compares to general-purpose multi-agent frameworks like AutoGen or CrewAI, and why a bespoke system was necessary. - Insufficient comparison to recent agentic frameworks.",Insufficient,MAIG: Multi-agent system for Academic Illustration Generation based on deep search and reflection,ICLR.cc/2026/Conference/Submission25589/Reviewer_xRDB,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains explicit subjective markers ('I think', 'really need') and evaluative language ('places all the pieces together', 'understand how they relate'). These indicate the reviewer's personal judgment about the paper's shortcomings rather than presenting verifiable facts. The citation [1] likely refers to prior work but does not change the subjective nature of the statement.","The sentence expresses the reviewer's personal opinion about the paper's lack of clarity and need for additional elements, making it subjective.",55,I think you really need an algorithm or a figure that places all the pieces together so that one can understand how they relate to each other [1] Cross-environment Cooperation Enables Zero-shot Multi-agent Coordination,I think,Contrastive-Aligned Knowledge Distillation for Collaborative Code Completion via Multi-Agent Reinforcement Learning,ICLR.cc/2026/Conference/Submission25606/Reviewer_v45Z,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains hedging language ('it seems like') and evaluative claims about the methodology's adequacy. The reviewer expresses a judgment about what constitutes a 'real baseline' for efficiency, which reflects their subjective assessment rather than verifiable facts. While specific techniques (LoRA/adapters) are mentioned factually, the context of their use as a 'real baseline' is an evaluative judgment.",The hedging and evaluative claims about the methodology's adequacy make this statement subjective.,56,"In addition, it seems like the baseline fine-tuning does not employ standard parameter‑efficient fine‑tuning methods inside the BFM (e.g., LoRA/adapters), which would be the real baseline when talking about efficiency.",it seems,Task Tokens: A Flexible Approach to Adapting Behavior Foundation Models,ICLR.cc/2026/Conference/Submission25607/Reviewer_zBs9,subjective,qwen3:8b,True
subjective,0.95,"The sentence expresses an evaluative judgment about the clarity of MARL concepts. The phrase 'are not clearly defined' represents the reviewer's assessment of the paper's work, which is a subjective evaluation rather than a verifiable fact. While it refers to the paper's content, the claim about 'clarity' is inherently subjective and depends on the reviewer's interpretation of the work's presentation.","The statement reflects the reviewer's opinion on the paper's clarity, making it subjective.",57,"The environment structure, reward horizon, and credit assignment in MARL are not clearly defined.",not clearly,Contrastive-Aligned Knowledge Distillation for Collaborative Code Completion via Multi-Agent Reinforcement Learning,ICLR.cc/2026/Conference/Submission25606/Reviewer_hxQN,subjective,qwen3:8b,True
subjective,0.95,"The sentence expresses an evaluative judgment ('lacks comparison') about the paper's methodology, which is a subjective assessment of its completeness. While the mention of specific methods is factual, the overall claim frames the absence of these comparisons as a weakness, reflecting the reviewer's opinion rather than a verifiable fact.","The sentence conveys the reviewer's evaluation of the paper's shortcomings, making it subjective.",58,"The paper lacks comparison to several relevant methods, such as MaterialMVP (ICCV 2025), which also supports image as the condition and generates the object material.",lacks | relevant,Style2Shape: Image Style Guided 3D Shape Material Generation,ICLR.cc/2026/Conference/Submission25608/Reviewer_Hn2v,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains explicit first-person evaluative language ('I think'), hedging ('would be particularly interesting'), and author-claim framing ('as opposed to just the pivot languages'). While the factual claim about model training is objective, the overall statement expresses the reviewer's opinion about what should be investigated, making it subjective.","The sentence expresses the reviewer's personal opinion about the research's potential improvements, marked by evaluative language and first-person perspective.",59,I think this would be particularly interesting to see as opposed to just the pivot languages because the model is explicitly trained on those anyway.,I think | interesting,Revisiting Multilingual Data Mixtures in Language Model Pretraining,ICLR.cc/2026/Conference/Submission25639/Reviewer_GiHe,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains first-person expressions of preference ('I'd much prefer'), evaluative language ('weakens the argument'), and explicit hedging ('I think'). These elements indicate the author's subjective stance rather than objective facts. The entire statement represents personal judgment about the methodology's effectiveness rather than reporting verifiable results or describing technical details.","The sentence expresses the reviewer's personal opinions and evaluations about the methodology, making it clearly subjective.",60,I'd much prefer if the evals were as rigorous as possible and i think LLM as a judge weakens the argument,I'd much prefer ,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_guxm,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains personal opinion expressed through the phrase 'I'm not a great fan of' which indicates the reviewer's subjective preference. The use of hedging ('not a great fan') and evaluative language ('as a judge evaluation') clearly convey the author's stance rather than presenting verifiable facts. There are no objective claims about methodology, results, or factual assertions.","The sentence expresses the reviewer's personal opinion about the suitability of LLMs as judges, making it clearly subjective.",61,"At the same time, I'm not a great fan of the LLM as a judge evaluation of the agents",I'm not a,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_guxm,subjective,qwen3:8b,True
subjective,1.0,"The sentence 'This is not interesting' expresses a clear evaluative judgment about the work's appeal. It contains evaluative language ('not interesting') that reflects the reviewer's personal opinion rather than presenting verifiable facts. The statement lacks any objective criteria or measurable evidence, and it directly conveys the author's stance without hedging or factual claims.",The sentence is subjective because it represents a personal evaluation of the work's interest level rather than stating an objective fact.,62,This is not interesting.,interesting,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_guxm,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains a recommendation ('should be included') which expresses the reviewer's opinion about what ought to be done. While the mentioned techniques (secure inference, differential privacy) are objective terms, the overall statement is a prescriptive evaluation of the paper's empirical validation. The use of 'should' indicates a subjective stance rather than a verifiable fact.","The sentence expresses a subjective recommendation for improving the paper's empirical validation, making it a subjective evaluation of the work.",63,"Additional privacy-related baselines, such as approaches based on secure inference, differential privacy, should be included for a more convincing empirical validation. 3.",should be,AlienLM: Alienization of Language for Privacy-Preserving API Interaction with LLMs,ICLR.cc/2026/Conference/Submission25556/Reviewer_EeK6,subjective,qwen3:8b,True
subjective,0.95,The sentence contains evaluative language ('unclear') and intensifiers ('really') that express the reviewer's personal judgment about the paper's clarity. The statement reflects the author's interpretation rather than presenting verifiable facts. The use of 'exactly what and how' indicates the reviewer is making an assessment about the paper's exposition rather than reporting objective observations.,"The sentence expresses the reviewer's subjective evaluation of the paper's clarity, making it a subjective statement.",64,- The paper is really unclear on exactly what and how the probem is being solved.,unclear,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_e415,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains explicit subjective markers: 'I think' (personal judgment), 'unclear to me' (subjective perception of ambiguity), and 'should be trusted' (evaluative stance). These phrases reflect the reviewer's personal interpretation and opinion about the paper's clarity and validity, rather than stating verifiable facts or objective observations.","The sentence expresses the reviewer's personal opinions about the paper's clarity and trustworthiness, making it clearly subjective.",65,"More explicitly stating what the measured quantities in the experiments correspond to in terms of the theory and the notation introduced above would be useful here, I think. 	- For example, how do $n$-gram statistic map to jets? - It is unclear to me to what degree the results should be trusted as a truthful representation of the model.",I think | unclear | should be,Jet Expansions: Restructuring LLM Computation for Model Inspection,ICLR.cc/2026/Conference/Submission25587/Reviewer_QKXz,subjective,qwen3:8b,True
subjective,0.95,The sentence contains evaluative language ('overclaiming') which expresses the reviewer's judgment about the title's appropriateness. The phrase 'by having' indicates the reviewer's reasoning based on their subjective assessment of the title's content. There are no verifiable factual claims about the title's content or structure that would make this statement objective.,The statement expresses an evaluative judgment about the title's claims rather than stating verifiable facts.,66,- The title is overclaiming by having “Riemannian Geometry” as the opening clause.,overclaiming,Riemannian Geometry: Speech Detection from MEG Brain Signals Towards Non-Invasive BCI,ICLR.cc/2026/Conference/Submission25560/Reviewer_i4zw,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('not well-enough motivated') which expresses a judgment about the quality of the dataset introduction. The phrase 'as it stands' introduces a subjective assessment of the current state, and the use of 'not' indicates a negative evaluation. There are no verifiable facts or objective claims presented.",The sentence expresses a subjective evaluation of the dataset introduction's motivation rather than stating an objective fact.,67,"As it stands, this dataset introduction is not well-enough motivated.",not well,Improving Developer Emotion Classification via LLM-Based Augmentation,ICLR.cc/2026/Conference/Submission25649/Reviewer_tdxY,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('thin') that expresses a judgment about the paper's positioning/novelty relative to baselines. This is a subjective assessment of the work's contribution rather than a verifiable fact. The phrase lacks quantitative evidence or objective criteria, and the criticism reflects the reviewer's perspective rather than an observable fact.","The statement represents a subjective evaluation of the paper's novelty and positioning, rather than an objective observation or factual claim.",68,Positioning/novelty vs. close baselines is thin.,novelty,Contrastive Code Graph Embeddings for Reinforcement Learning-Based Automated Code Refactoring,ICLR.cc/2026/Conference/Submission25618/Reviewer_qRvF,subjective,qwen3:8b,True
subjective,0.95,The sentence contains a normative statement ('should have been conducted') which expresses the reviewer's evaluation of what was necessary but not done. This indicates a subjective judgment about the methodology rather than a verifiable fact. The use of 'should' implies an author's opinion about the adequacy of the work.,The sentence expresses a subjective evaluation of the methodology by recommending a specific action that was not taken.,69,A proper grid search for the best learning rate should have been conducted.,should have,Silver Stepsize for Faster Zeroth-Order Optimization,ICLR.cc/2026/Conference/Submission25582/Reviewer_oiV7,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('lucky', 'unintentional cherry-picking') and expresses uncertainty ('it is unclear') about the results' validity. The reviewer is making an assessment about the potential cause of the results rather than stating verifiable facts. The phrase 'are not the consequence' represents a negative evaluation, and the overall structure frames the author's doubt about the methodology.","The sentence expresses the reviewer's opinion about the potential invalidity of the results due to random chance, which is a subjective evaluation rather than an objective fact.",70,"Indeed, as it stands, it is unclear whether, for instance, the current results are not the consequence of a lucky, unintentional cherry-picking of the right (default) random seed.",unclear,Cross-Modal Syntax-NL Attention for Multi-Agent Reinforcement Learning in Collaborative Coding,ICLR.cc/2026/Conference/Submission25586/Reviewer_i1oQ,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('unclear', 'narrower', 'lacks') and expresses the reviewer's judgment about the toolkit's limitations. While it describes specific features, the critical assessment of representativeness and scope constitutes subjective evaluation rather than verifiable facts.","The statement reflects the reviewer's opinion on the toolkit's adequacy and generalizability, making it subjective.",71,"Without geographic context, it is unclear how representative or generalizable the benchmark is. **Tools are narrower.** The toolkit focuses on perception and spatial-relation operators (buffer, overlap, containment) but lacks temporal/change and code-based tools that are common in broader geospatial reasoning workflows.",unclear | lacks,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_PTWu,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains hedging ('not deeply familiar'), prescriptive language ('should include'), and evaluative claims about the paper's shortcomings. These elements reflect the reviewer's personal judgment rather than verifiable facts. The suggested comparisons are framed as recommendations rather than objective observations.","The sentence expresses the reviewer's opinion about what the paper lacks, making it subjective.",72,"Although I am not deeply familiar with the specific two-point ZO estimation paradigm, it seems that the paper should include comparisons with more advanced accelerated or variance-reduced zeroth-order optimizers—for example, algorithms that incorporate momentum, adaptive smoothing, or gradient-tracking techniques.",it seems  | should include,Silver Stepsize for Faster Zeroth-Order Optimization,ICLR.cc/2026/Conference/Submission25582/Reviewer_XZvk,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('does not clearly define') which expresses the reviewer's judgment about the paper's adequacy. The structure frames the critique as the author's assessment of the paper's methodology, rather than stating verifiable facts. The questions about perturbations and robustness are presented as gaps in the paper's treatment, not as objective observations about its content.","The statement reflects the reviewer's subjective evaluation of the paper's clarity and completeness, rather than presenting factual claims about the work.",73,"The paper does not clearly define the adversarial setting for code generation—what kinds of perturbations are used, how they are measured, and what “robustness” precisely means.",not clearly,Curricular Adversarial Training for Robust Code Generation via Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25575/Reviewer_TNBK,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('not very clear', 'would have been beneficial') and expresses the reviewer's judgment about the paper's content. The phrase 'what the ablations were trying to accomplish' reflects the reviewer's interpretation rather than a verifiable fact. The use of 'sometimes' and speculative phrasing ('would have been') further indicates subjectivity.","The statement expresses the reviewer's opinion about the clarity and potential improvements of the ablations, which is a subjective evaluation rather than an objective fact.",74,"It was not very clear what the ablations where trying to accomplish sometimes, would have been beneficial.",very clear,Scaling Laws for Generative Reward Models,ICLR.cc/2026/Conference/Submission25601/Reviewer_UekM,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('makes it hard to assess') that expresses the reviewer's judgment about the paper's limitations. While the initial statement about MoE architectures is factual, the core claim about the omission's impact on practicality assessment is a subjective evaluation of the paper's weaknesses. The phrase 'this omission makes it hard' reflects the reviewer's opinion about the consequences of the paper's shortcomings.","The sentence expresses a subjective evaluation of the paper's practicality in resource-constrained environments due to an omission, which is a common feature of peer review weaknesses sections.",75,"Given that MoE architectures typically incur higher memory or latency costs due to expert activation, this omission makes it hard to assess the framework’s practicality in resource-constrained environments.",hard to assess,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('poor presentation', 'extremely difficult') which expresses the reviewer's opinion about the paper's presentation quality and its impact on evaluation. The phrase 'makes it difficult to evaluate' reflects the author's judgment rather than stating verifiable facts about the paper's content or methodology.","The sentence expresses the reviewer's opinion about the presentation's effect on evaluation, making it subjective.",76,The poor presentation makes it extremely difficult to evaluate the technical soundness and novelty of the contributions. 1.,difficult to evaluate | novelty,Cross-Modal Syntax-NL Attention for Multi-Agent Reinforcement Learning in Collaborative Coding,ICLR.cc/2026/Conference/Submission25586/Reviewer_gL1u,subjective,qwen3:8b,True
subjective,0.95,The sentence contains evaluative language ('questionable') which expresses the reviewer's doubt about the tests' power and reliability. This is a subjective assessment rather than a verifiable fact. The numerical '4' at the end likely refers to a point number rather than contributing to the factual content.,"The use of 'questionable' indicates the author's subjective evaluation of the tests' effectiveness, making this statement subjective.",77,The power of these tests and their reliability for clinical interpretation are questionable. 4.,questionable,Unsupervised Dynamic Graph Multi-Model Representation Learning for Temporal Patterns Discovery: Uncovering Parkinson’s Disease Stages Using Cerebrospinal Fluid Longitudinal Profiles,ICLR.cc/2026/Conference/Submission25570/Reviewer_dDiY,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('fails to', 'huge boost') and hedging ('marginal benefit') that reflect the reviewer's judgment rather than objective facts. The first clause explicitly criticizes the paper's contribution, while the second part uses subjective interpretations of experimental results.","The sentence expresses the reviewer's evaluation of the paper's work and interpretation of results, making it subjective.",78,"The paper fails to reveal the state of the art on this task. - The ablation study (Table 7) shows that training on Triple-S or MultiChat alone gives marginal benefit, but training on both provides a huge boost.",fails to,Triple-S: A Sticker Semantic Similarity Benchmark with General Sticker Encoder,ICLR.cc/2026/Conference/Submission25572/Reviewer_yX6H,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains first-person perspective ('I would like'), which indicates the reviewer's personal opinion. The phrase 'could align' expresses a recommendation rather than a verifiable fact. The grammatical structure ('If like that') suggests an evaluative stance rather than objective description. The overall tone reflects the reviewer's subjective assessment of what should be done.","The sentence expresses the reviewer's personal opinion about what the author should do, making it subjective.",79,"If like that, I would like to see the author could align diffrent high dimensional observations.",would like to see,LaMbDA: Local Latent Embedding Alignment for Cross-modal Time-Series Diffusion,ICLR.cc/2026/Conference/Submission25565/Reviewer_PVqD,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('promising', 'limited') and hedging phrases ('somewhat', 'appears'), which indicate the reviewer's subjective assessment of the experimental evaluation's scope. These elements reflect the author's opinion rather than verifiable facts.","The use of evaluative terms and hedging clearly classifies this statement as subjective, reflecting the reviewer's opinion rather than an objective observation.",80,"The experimental evaluation, while promising, appears somewhat limited in scope.",promising | somewhat limited,HTR for Russian Empire Period Manuscripts: A Two-Stage Framework with New Annotated Resources,ICLR.cc/2026/Conference/Submission25555/Reviewer_BcVz,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('insufficient', 'absent') that reflects the reviewer's judgment about the paper's methodology. While the second clause ('CoT...supervision is absent') could be interpreted as factual, it is framed within the context of a critique of the paper's approach, which is a subjective assessment of its limitations. The overall tone and purpose of the sentence align with identifying weaknesses, which is a subjective task in peer review.","The sentence expresses the reviewer's evaluation of the paper's methodology as insufficient and lacking specific supervision elements, which constitutes a subjective opinion about the work's quality.",81,Direct label prediction is insufficient to measure reasoning; CoT or reasoning-path supervision is absent. 3.,insufficient,Causal Reasoning Favors Encoders: Limits of Decoder-Only Models,ICLR.cc/2026/Conference/Submission25568/Reviewer_vzTB,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains explicit first-person belief ('I believe'), uncertainty ('I do not know'), and evaluative claims ('evaluation is lacking'). The author's personal stance and epistemic uncertainty dominate the statement, with the technical claim about datasets serving as a supporting rationale rather than an objective fact. The use of 'given that' frames the dataset limitation as a subjective assessment of the proposed strategy's feasibility.",The sentence primarily expresses the reviewer's personal beliefs and uncertainties rather than stating verifiable facts.,82,"As such, I believe the evaluation is lacking, but I do not know if improving it is possible, given that recent datasets cannot easily be trained with the proposed strategy.",I believe,Less is More: Improving Molecular Force Fields with Minimal Temporal Information,ICLR.cc/2026/Conference/Submission25585/Reviewer_ZeyN,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('very low', 'cannot understand', 'seem arbitrary') and expresses the reviewer's personal assessment of the work's quality. While it mentions experimental verification as a factual criterion, the overall tone and content reflect the author's subjective judgment about the research's adequacy and methodology. The final 'Lack of insights' is a concise evaluative statement.",The sentence primarily expresses the reviewer's subjective evaluation of the work's analysis and design choices rather than stating verifiable facts.,83,"Nonetheless, the analysis of the dataset is very low and we cannot understand the impact of each of these tasks; the various design choices for each task, albeit explained, are not experimentally verified and seem arbitrary.  4/ Lack of insights.",we cannot understand,All-in-One: Boosting Basic Capabilities in one Omni-MLLM to Enhance Movie Understanding,ICLR.cc/2026/Conference/Submission25627/Reviewer_pdST,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains both factual claims and subjective evaluation. The first clause presents verifiable numerical results (objective). The second clause '- I am not sure the small gains have anything to do with temporality' explicitly expresses the reviewer's uncertainty and skepticism, which is a subjective opinion with hedging ('not sure'). Since the sentence includes subjective evaluation, it is classified as subjective.",The presence of the reviewer's expressed uncertainty ('I am not sure') makes the entire sentence subjective.,84,"The loss only improved the accuracy over the baseline in 9/16 cases, each improvement being less than 5%. - I am not sure the small gains have anything to do with temporality.",not sure,Less is More: Improving Molecular Force Fields with Minimal Temporal Information,ICLR.cc/2026/Conference/Submission25585/Reviewer_8Ljb,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('poor presentation', 'difficult to follow') that expresses the reviewer's judgment about the quality of the work. These are not verifiable facts but rather opinions about the presentation's effectiveness. The structure 'Poor X: Y' is a common pattern in peer reviews to express subjective assessments of weaknesses.",The statement represents a subjective evaluation of the paper's presentation quality rather than an objective factual claim.,85,Poor presentation and readability: The overall presentation is difficult to follow.,difficult to follow,AlienLM: Alienization of Language for Privacy-Preserving API Interaction with LLMs,ICLR.cc/2026/Conference/Submission25556/Reviewer_EeK6,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains explicit hedging ('in my opinion') and evaluative language ('better -and correct-'). The author is expressing a personal judgment about terminology usage, not merely reporting factual claims. The core assertion ('visit-based graphs' is correct) represents the reviewer's subjective evaluation rather than an objective fact.",The presence of personal opinion markers and evaluative judgments clearly classifies this statement as subjective.,86,"For example, the authors describe constructing “age-based” graphs, when in fact each graph corresponds instead to a specific visit time (a better -and correct- term in my opinion would be visit-based graphs).",in my opinion,Unsupervised Dynamic Graph Multi-Model Representation Learning for Temporal Patterns Discovery: Uncovering Parkinson’s Disease Stages Using Cerebrospinal Fluid Longitudinal Profiles,ICLR.cc/2026/Conference/Submission25570/Reviewer_QbpR,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('overly simplistic', 'failing to clearly illustrate') which expresses the reviewer's judgment about the figures' effectiveness. The use of 'overly' and 'failing' indicates subjective assessment rather than verifiable facts. The statement reflects the author's opinion on the adequacy of the visual representation rather than stating objective properties of the figures.","The sentence expresses a subjective evaluation of the figures' clarity and complexity, making it a subjective opinion rather than an objective fact.",87,"Figures 1 and 2 are overly simplistic, failing to clearly illustrate the framework’s workflow.",simplistic,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('hard to assess') and expresses the author's opinion about the limitations of the paper. The phrase 'it's hard to assess' represents a subjective judgment about the current state of the research. The author is stating their belief that necessary comparisons are missing, which is a subjective evaluation rather than a verifiable fact.","The sentence reflects the reviewer's opinion about the paper's limitations and the difficulty in evaluating its contributions, making it subjective.",88,"Without comparing to ThinkGeo directly or analyzing performance differences across modalities, it's hard to assess the true benefits of the proposed approach.",hard to assess,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_5bSx,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains an evaluative judgment ('inadequate') which is a subjective assessment of the work's quality. This represents the reviewer's opinion about the experimental design and visualization, not a verifiable fact. The use of 'are' in this context expresses a value judgment rather than an objective observation.",The statement expresses a subjective evaluation of the research quality rather than presenting verifiable facts.,89,"Finally, the experimental design and visualization are inadequate.",inadequate,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_o5xa,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('questionable') that expresses doubt about the validity of something. This is a hedging expression indicating the reviewer's uncertainty rather than stating a verifiable fact. The phrase lacks objective evidence or factual claims, and the use of 'this' refers to a previously discussed claim whose validity is being questioned.","The statement expresses the reviewer's doubt and evaluation of a claim, making it subjective rather than factual.",90,This is questionable.,questionable,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_CA8L,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains first-person belief ('I believe') which is a clear indicator of subjective opinion. The claim about the paper's origin is not a verifiable fact but an evaluative assertion. The author's personal stance is explicitly stated, lacking objective evidence or factual claims.",The statement expresses the author's personal belief rather than presenting verifiable facts or objective analysis.,91,I believe this paper was generated by AI.,I believe,Contrastive Code Graph Embeddings for Reinforcement Learning-Based Automated Code Refactoring,ICLR.cc/2026/Conference/Submission25618/Reviewer_BKDb,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains first-person perspective ('I find'), hedging language ('somehow'), and evaluative claims ('hard to follow', 'disconnected from the overall goal', 'lack of solid contributions'). These elements express the reviewer's personal judgment about the paper's coherence and contribution quality rather than stating verifiable facts. The phrasing 'I find' and 'lack of' indicate subjective evaluation of the work's merits.","The sentence expresses the reviewer's personal opinions and evaluations about the paper's structure and contributions, making it clearly subjective.",92,I find the paper hard to follow and every part somehow disconnected from the overall goal.  2/ Lack of solid contributions.,I find | hard to follow | Lack,All-in-One: Boosting Basic Capabilities in one Omni-MLLM to Enhance Movie Understanding,ICLR.cc/2026/Conference/Submission25627/Reviewer_pdST,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('insufficient', 'quite limited') which expresses the reviewer's judgment about the quality and scope of the work. While it mentions factual elements (related work section, baselines in experiment table), the core assertion is an opinion about their adequacy. The use of evaluative terms indicates subjectivity rather than objective description.","The sentence expresses the reviewer's opinion about the adequacy of the related work and baselines, making it subjective.",93,"5.The related work section is insufficient, and the baselines listed in the main experiment table are quite limited.",insufficient | quite limited,Diffusion-Advection Transformer for Air Quality Prediction,ICLR.cc/2026/Conference/Submission25577/Reviewer_RSdU,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains hedging language ('seems') which indicates the reviewer's uncertainty. This expresses an evaluative judgment about the paper's lack of specification, rather than stating a verifiable fact. The structure 'seems doesn’t specify' reflects the reviewer's opinion about the paper's content rather than presenting objective evidence.",The use of hedging and evaluative language indicates the reviewer's subjective assessment of the paper's shortcomings.,94,The paper seems doesn’t specify which layers’ activations are used to compute features or why.,The paper seems,Neuron-Aware Data Selection in Instruction Tuning for Large Language Models,ICLR.cc/2026/Conference/Submission25580/Reviewer_wy8Y,subjective,qwen3:8b,True
subjective,0.95,"The sentence contains a prescriptive recommendation ('should be moved') which reflects the reviewer's opinion about what needs to be done. This is a form of evaluative language indicating a subjective judgment about the paper's current state. The use of 'therefore' connects this statement to an implied evaluation of the supplementary material's placement, which is a common feature in subjective weakness assessments.","The sentence expresses a recommendation that reflects the reviewer's opinion about the paper's content organization, making it subjective.",95,"Therefore, they should be moved from the supplementary material to the main paper.",should be,Efficient High-Resolution Image Editing with Hallucination-Aware Loss and Adaptive Tiling,ICLR.cc/2026/Conference/Submission25554/Reviewer_BLVj,subjective,qwen3:8b,True
